,Account,Month,Prorated_Consumption,Prorated_Charge
0,47071-MN10022,2015-12-01,49535.2,2648.032
1,47071-MN10022,2016-01-01,66604.48965517242,4428.180413793104
2,47071-MN10022,2016-02-01,64873.74784482759,4436.665711206897
3,47071-MN10022,2016-03-01,71370.8728448276,5365.3873922413795
4,47071-MN10022,2016-04-01,70375.6896551724,5452.242816091954
5,47071-MN10022,2016-05-01,69688.25,6270.034791666667
6,47071-MN10022,2016-06-01,69036.75,6621.020875
7,47071-MN10022,2016-07-01,70034.96875,6560.725375
8,47071-MN10022,2016-08-01,65409.831249999996,6202.122625
9,47071-MN10022,2016-09-01,61730.95862068965,6022.2114482758625
10,47071-MN10022,2016-10-01,57498.10344827587,5716.542413793102
11,47071-MN10022,2016-11-01,55433.731681034486,4378.101950431034
12,47071-MN10022,2016-12-01,54386.71875,4119.4084375
13,47071-MN10022,2017-01-01,55358.65301724138,7472.353749999999
14,47071-MN10022,2017-02-01,46056.275862068964,6948.403686209196
15,47071-MN10022,2017-03-01,52111.33004926109,8129.743810183662
16,47071-MN10022,2017-04-01,48012.095238095244,7822.901613455627
17,47071-MN10022,2017-05-01,53941.297619047626,9306.438892996342
18,47071-MN10022,2017-06-01,51621.1736453202,9528.878889189655
19,47071-MN10022,2017-07-01,8905.862068965518,2077.113956333259
20,47071-MN10022,2017-08-01,46938.206896551725,8449.939194859846
21,47071-MN10022,2017-09-01,57207.078817733985,9883.7291754867
22,47071-MN10022,2017-10-01,52447.04761904762,8798.330230385716
23,47071-MN10022,2017-11-01,47850.94252873563,7471.859659348277
24,47071-MN10022,2017-12-01,47419.590804597705,7399.766651451725
25,47071-MN10022,2018-01-01,44127.78850574713,7040.7755986264365
26,47071-MN10022,2018-02-01,44215.44827586207,6757.664040025287
27,47071-MN10022,2018-03-01,48751.89655172414,7268.687247591133
28,47071-MN10022,2018-04-01,48372.12903225806,7256.779213341014
29,47071-MN10022,2018-05-01,47413.69855394884,8678.143856929923
30,47071-MN10022,2018-06-01,34614.6724137931,6573.876836152874
31,47071-MN10022,2018-07-01,39407.120689655174,7298.77881318046
32,47071-MN10022,2018-08-01,39498.979310344825,7180.842366552874
33,47071-MN10022,2018-09-01,37404.43571428572,7065.860441628571
34,47071-MN10022,2018-10-01,37662.09331797235,6752.396118684332
35,47071-MN10022,2018-11-01,34879.42269187987,5600.228007818132
36,47071-MN10022,2018-12-01,4779.448275862069,823.7316995689655
37,47074-MN10043,2015-12-01,36964.8,2147.096
38,47074-MN10043,2016-01-01,50767.92413793104,3563.032620689655
39,47074-MN10043,2016-02-01,52334.119612068964,3852.4591918103447
40,47074-MN10043,2016-03-01,52207.776939655174,4177.004601293103
41,47074-MN10043,2016-04-01,51961.379310344826,4465.994252873564
42,47074-MN10043,2016-05-01,54594.5,5437.437708333333
43,47074-MN10043,2016-06-01,57444.3,5937.349625
44,47074-MN10043,2016-07-01,62843.54375,6184.1850625
45,47074-MN10043,2016-08-01,62854.05625,6515.6049375
46,47074-MN10043,2016-09-01,64581.22068965517,6978.905655172413
47,47074-MN10043,2016-10-01,58945.68965517241,6010.141034482759
48,47074-MN10043,2016-11-01,47055.72090517241,4078.2543103448274
49,47074-MN10043,2016-12-01,44877.71875,3455.3
50,47074-MN10043,2017-01-01,50661.56034482759,6900.72959770115
51,47074-MN10043,2017-02-01,40686.24137931035,6361.003384428735
52,47074-MN10043,2017-03-01,42545.73399014778,6843.869758262972
53,47074-MN10043,2017-04-01,40996.97235023041,6688.765807994239
54,47074-MN10043,2017-05-01,44922.086763070074,8390.573348468075
55,47074-MN10043,2017-06-01,48680.96551724138,9346.185790558622
56,47074-MN10043,2017-07-01,55703.431590656284,10445.151629876527
57,47074-MN10043,2017-08-01,62546.80978865406,11638.296455371745
58,47074-MN10043,2017-09-01,50528.3448275862,9799.857859486947
59,47074-MN10043,2017-10-01,46126.4367816092,8531.597458721953
60,47074-MN10043,2017-11-01,40351.33333333333,6364.725155062367
61,47074-MN10043,2017-12-01,40322.51190476191,6285.3532240481945
62,47074-MN10043,2018-01-01,41432.421428571426,6599.209467285139
63,47074-MN10043,2018-02-01,39835.606896551726,6346.6178922160925
64,47074-MN10043,2018-03-01,45851.89655172414,7397.84292537931
65,47074-MN10043,2018-04-01,46049.39655172414,7425.002628229328
66,47074-MN10043,2018-05-01,45972.74137931034,8453.147890667222
67,47074-MN10043,2018-06-01,46243.41379310344,8632.88742833908
68,47074-MN10043,2018-07-01,49022.7319243604,9192.97683087004
69,47074-MN10043,2018-08-01,49727.81979977753,9271.005845135705
70,47074-MN10043,2018-09-01,45613.65024630542,8504.139307503694
71,47074-MN10043,2018-10-01,44286.01382488479,7917.891397370679
72,47074-MN10043,2018-11-01,40114.68075639599,6461.780754470454
73,47074-MN10043,2018-12-01,5479.448275862069,969.9131625517241
74,47072-MN10028,2015-12-01,82257.6,3985.2239999999997
75,47072-MN10028,2016-01-01,101132.50344827585,6125.711172413792
76,47072-MN10028,2016-02-01,95950.27155172414,6115.587640086207
77,47072-MN10028,2016-03-01,105159.52155172414,7051.742359913793
78,47072-MN10028,2016-04-01,103217.27011494251,7324.878160919541
79,47072-MN10028,2016-05-01,106627.77083333333,8866.339791666665
80,47072-MN10028,2016-06-01,107305.2625,9414.324874999998
81,47072-MN10028,2016-07-01,114293.8,9972.012312500001
82,47072-MN10028,2016-08-01,111682.20000000001,9828.845687499997
83,47072-MN10028,2016-09-01,105960.66206896552,9640.12020689655
84,47072-MN10028,2016-10-01,104558.5172413793,9277.203793103447
85,47072-MN10028,2016-11-01,87245.02693965517,6252.984375
86,47072-MN10028,2016-12-01,80980.46875,5494.98625
87,47072-MN10028,2017-01-01,84692.43534482758,10631.58793821839
88,47072-MN10028,2017-02-01,74579.0,10500.235552932185
89,47072-MN10028,2017-03-01,74666.6896551724,10502.339669206569
90,47072-MN10028,2017-04-01,71087.2258064516,10164.020648223504
91,47072-MN10028,2017-05-01,72825.87764182425,11239.044724453837
92,47072-MN10028,2017-06-01,70397.89655172414,11123.548644517241
93,47072-MN10028,2017-07-01,72238.54838709676,11335.5987113515
94,47072-MN10028,2017-08-01,68017.7619577308,11529.149434786428
95,47072-MN10028,2017-09-01,36968.1724137931,6787.863265862069
96,47072-MN10028,2017-10-01,30060.0,5237.349204413794
97,47072-MN10028,2017-11-01,26375.37931034483,3976.9071344137933
98,47072-MN10028,2017-12-01,29357.724137931033,4356.564936333332
99,47072-MN10028,2018-01-01,28955.513793103448,4323.798374587356
100,47072-MN10028,2018-02-01,26540.141379310342,4048.0017061827584
101,47072-MN10028,2018-03-01,27273.44827586207,4266.79313337931
102,47072-MN10028,2018-04-01,27468.64367816092,4359.441988530404
103,47072-MN10028,2018-05-01,28970.045977011498,5102.187220504078
104,47072-MN10028,2018-06-01,29410.620689655174,5756.271152036782
105,47072-MN10028,2018-07-01,31527.827586206895,5825.725659233333
106,47072-MN10028,2018-08-01,30761.90574712644,5476.585103966667
107,47072-MN10028,2018-09-01,28509.05238095238,5253.492398473811
108,47072-MN10028,2018-10-01,28337.34331797235,4990.543541819269
109,47072-MN10028,2018-11-01,27316.457174638486,4342.860290780485
110,47072-MN10028,2018-12-01,3768.4137931034484,660.8789407931034
111,47075-MN10049,2015-12-01,45942.4,2548.424
112,47075-MN10049,2016-01-01,62040.7724137931,4278.037034482758
113,47075-MN10049,2016-02-01,57512.2650862069,4129.4083405172405
114,47075-MN10049,2016-03-01,61140.07974137931,4601.628211206897
115,47075-MN10049,2016-04-01,58861.98275862069,4892.272413793104
116,47075-MN10049,2016-05-01,59335.5625,5813.226250000001
117,47075-MN10049,2016-06-01,58648.537500000006,6243.08575
118,47075-MN10049,2016-07-01,68070.025,7152.9258125
119,47075-MN10049,2016-08-01,68472.775,7293.852187500001
120,47075-MN10049,2016-09-01,67739.87586206896,7635.113103448276
121,47075-MN10049,2016-10-01,66782.58620689655,7297.351724137931
122,47075-MN10049,2016-11-01,58063.70043103448,5182.6317349137935
123,47075-MN10049,2016-12-01,51700.625,4559.5659375
124,47075-MN10049,2017-01-01,63088.32974137931,9164.1741091954
125,47075-MN10049,2017-02-01,57761.65517241379,9076.356777649426
126,47075-MN10049,2017-03-01,71253.39901477832,11211.780994583743
127,47075-MN10049,2017-04-01,64028.17050691244,10426.663455087559
128,47075-MN10049,2017-05-01,73598.80978865406,12858.140320035596
129,47075-MN10049,2017-06-01,74157.75862068965,13228.213075413794
130,47075-MN10049,2017-07-01,69204.56062291435,12448.249676937707
131,47075-MN10049,2017-08-01,71455.71523915461,13060.06393832436
132,47075-MN10049,2017-09-01,66377.69950738916,12219.005704558127
133,47075-MN10049,2017-10-01,55140.48847926267,10511.533911859446
134,47075-MN10049,2017-11-01,53424.36866359447,9019.744199044493
135,47075-MN10049,2017-12-01,55513.40886699508,9020.770599793103
136,47075-MN10049,2018-01-01,56905.14827586207,9223.049248283909
137,47075-MN10049,2018-02-01,53736.09310344828,8854.714706474711
138,47075-MN10049,2018-03-01,57772.58620689655,9423.861990413794
139,47075-MN10049,2018-04-01,58275.9540229885,9434.96709688784
140,47075-MN10049,2018-05-01,59808.5632183908,10937.728762663886
141,47075-MN10049,2018-06-01,55802.4367816092,10251.957575326436
142,47075-MN10049,2018-07-01,61775.83908045977,11298.829467437932
143,47075-MN10049,2018-08-01,61137.160919540234,11116.00145916207
144,47075-MN10049,2018-09-01,57820.666666666664,10891.312173438095
145,47075-MN10049,2018-10-01,57994.74193548387,10710.596069520305
146,47075-MN10049,2018-11-01,53509.12013348164,8891.366398873783
147,47075-MN10049,2018-12-01,7328.137931034483,1333.4657890344827
148,47078-MN10067,2015-12-01,40714.4,2412.1040000000003
149,47078-MN10067,2016-01-01,53487.22068965517,3949.327724137931
150,47078-MN10067,2016-02-01,50666.098060344826,3936.033275862069
151,47078-MN10067,2016-03-01,55331.24676724138,4530.028793103448
152,47078-MN10067,2016-04-01,55151.86781609196,4878.461206896552
153,47078-MN10067,2016-05-01,56149.729166666664,5838.480624999999
154,47078-MN10067,2016-06-01,55573.6375,5922.168374999999
155,47078-MN10067,2016-07-01,57691.4875,6230.286625
156,47078-MN10067,2016-08-01,61426.912500000006,7266.273374999999
157,47078-MN10067,2016-09-01,61631.606896551726,7336.612896551724
158,47078-MN10067,2016-10-01,54607.551724137935,6102.527586206897
159,47078-MN10067,2016-11-01,45625.42887931035,4278.578954741379
160,47078-MN10067,2016-12-01,44916.8125,4032.9765625
161,47078-MN10067,2017-01-01,48430.55172413793,7134.59367816092
162,47078-MN10067,2017-02-01,44598.206896551725,7204.085914458621
163,47078-MN10067,2017-03-01,52354.66995073891,8713.843485844747
164,47078-MN10067,2017-04-01,54586.15207373272,9167.700333567971
165,47078-MN10067,2017-05-01,58148.31590656285,10732.87459296774
166,47078-MN10067,2017-06-01,59199.62068965518,11313.225111862068
167,47078-MN10067,2017-07-01,65239.16017797553,12107.064132073418
168,47078-MN10067,2017-08-01,70086.66740823137,13401.163296305895
169,47078-MN10067,2017-09-01,64724.94088669951,12547.285443365767
170,47078-MN10067,2017-10-01,60032.58095238096,11341.158754792858
171,47078-MN10067,2017-11-01,54030.13333333333,9003.419618333333
172,47078-MN10067,2017-12-01,57388.92857142857,9418.938914652135
173,47078-MN10067,2018-01-01,59238.171428571426,9627.763961447865
174,47078-MN10067,2018-02-01,54678.934482758625,8938.569752477011
175,47078-MN10067,2018-03-01,62111.10837438423,10207.146463689656
176,47078-MN10067,2018-04-01,59317.63133640553,9705.901291814514
177,47078-MN10067,2018-05-01,63782.3637374861,11661.852527082036
178,47078-MN10067,2018-06-01,61522.69540229885,11481.997879136783
179,47078-MN10067,2018-07-01,66896.20114942528,12397.68255517931
180,47078-MN10067,2018-08-01,69610.63218390805,12567.727710887359
181,47078-MN10067,2018-09-01,64801.0119047619,12164.136051971429
182,47078-MN10067,2018-10-01,61254.80529953917,11162.466556767282
183,47078-MN10067,2018-11-01,53726.44716351501,9260.611641753245
184,47078-MN10067,2018-12-01,7302.068965517241,1353.3503314080458
185,47069-MN10007,2015-12-01,7766.400000000001,682.6800000000001
186,47069-MN10007,2016-01-01,10471.772413793104,1075.9199999999998
187,47069-MN10007,2016-02-01,11158.577586206897,1114.136875
188,47069-MN10007,2016-03-01,12362.112068965518,1295.044504310345
189,47069-MN10007,2016-04-01,13864.137931034482,1472.5669540229885
190,47069-MN10007,2016-05-01,16485.125,1837.7804166666667
191,47069-MN10007,2016-06-01,14787.275,1882.02925
192,47069-MN10007,2016-07-01,13845.1,1928.6995
193,47069-MN10007,2016-08-01,13455.1,1910.6164999999999
194,47069-MN10007,2016-09-01,12644.95172413793,1868.4891034482757
195,47069-MN10007,2016-10-01,11519.793103448275,1590.6155172413792
196,47069-MN10007,2016-11-01,9547.936422413793,1129.0763793103447
197,47069-MN10007,2016-12-01,9261.09375,916.656875
198,47069-MN10007,2017-01-01,9219.791666666666,1428.0243318965515
199,47069-MN10007,2017-02-01,8775.074712643678,1469.3431584091954
200,47069-MN10007,2017-03-01,9873.724137931034,1880.803963245977
201,47069-MN10007,2017-04-01,10605.83448275862,2039.193815732147
202,47069-MN10007,2017-05-01,10953.165517241378,3064.9213880264742
203,47069-MN10007,2017-06-01,11910.931034482759,2358.2884141034483
204,47069-MN10007,2017-07-01,12180.522803114573,2676.4128698120135
205,47069-MN10007,2017-08-01,14397.890989988875,3682.041410091435
206,47069-MN10007,2017-09-01,14362.83251231527,3372.4354262899014
207,47069-MN10007,2017-10-01,13321.405529953918,2886.0452715864058
208,47069-MN10007,2017-11-01,12320.594470046082,2219.9083982498014
209,47069-MN10007,2017-12-01,10922.373271889403,1875.6132259437472
210,47069-MN10007,2018-01-01,11948.656284760846,2069.365274651984
211,47069-MN10007,2018-02-01,10839.206896551725,1934.5694725471265
212,47069-MN10007,2018-03-01,11711.896551724138,2128.446584448276
213,47069-MN10007,2018-04-01,11385.8908045977,2813.9273457988506
214,47069-MN10007,2018-05-01,11761.833333333334,2824.6775787666666
215,47069-MN10007,2018-06-01,12470.142857142857,2729.212430700493
216,47069-MN10007,2018-07-01,12909.211981566821,2648.430680925313
217,47069-MN10007,2018-08-01,13638.748609566184,2572.5455374523544
218,47069-MN10007,2018-09-01,12696.039408866995,2522.2545361432676
219,47069-MN10007,2018-10-01,12125.502304147465,2312.59837537212
220,47069-MN10007,2018-11-01,10884.3893214683,1928.7874142202447
221,47069-MN10007,2018-12-01,1484.9655172413793,287.0512205862069
222,47068-MN10000,2015-12-01,55862.399999999994,3299.6800000000003
223,47068-MN10000,2016-01-01,73788.87586206896,4705.773448275862
224,47068-MN10000,2016-02-01,71429.53663793103,4510.834989224138
225,47068-MN10000,2016-03-01,79269.15301724138,5468.575700431034
226,47068-MN10000,2016-04-01,78526.86781609197,5870.834195402298
227,47068-MN10000,2016-05-01,80552.72916666667,7218.7647916666665
228,47068-MN10000,2016-06-01,79402.8375,7452.784875
229,47068-MN10000,2016-07-01,80280.9125,7288.1685625
230,47068-MN10000,2016-08-01,79795.2875,7034.6954375000005
231,47068-MN10000,2016-09-01,76661.29655172414,6941.118689655173
232,47068-MN10000,2016-10-01,74642.06896551725,6728.387931034482
233,47068-MN10000,2016-11-01,60410.34698275862,4495.675441810345
234,47068-MN10000,2016-12-01,57272.4375,4000.1415625
235,47068-MN10000,2017-01-01,60972.75,8129.851099137931
236,47068-MN10000,2017-02-01,56056.46551724138,8007.138441662069
237,47068-MN10000,2017-03-01,62245.03448275862,9330.930450057143
238,47068-MN10000,2017-04-01,61499.419354838705,9317.013295175115
239,47068-MN10000,2017-05-01,64607.13236929922,11374.289720726363
240,47068-MN10000,2017-06-01,63506.620689655174,11229.073696896552
241,47068-MN10000,2017-07-01,65096.76307007786,11313.164211989988
242,47068-MN10000,2017-08-01,76468.89210233593,13272.130478720357
243,47068-MN10000,2017-09-01,75204.31527093596,12726.741475563053
244,47068-MN10000,2017-10-01,72558.25714285714,11819.297028004763
245,47068-MN10000,2017-11-01,60364.979310344825,9463.097701342529
246,47068-MN10000,2017-12-01,55493.58843159066,8472.875162820912
247,47068-MN10000,2018-01-01,62424.273637374856,9164.06052873541
248,47068-MN10000,2018-02-01,55206.93103448275,8246.009530926438
249,47068-MN10000,2018-03-01,61205.17241379311,9134.957649068967
250,47068-MN10000,2018-04-01,62942.6551724138,9662.369861564888
251,47068-MN10000,2018-05-01,64226.8275862069,10800.594793779941
252,47068-MN10000,2018-06-01,59074.00574712644,10241.77871596092
253,47068-MN10000,2018-07-01,65226.54597701149,11339.33761094138
254,47068-MN10000,2018-08-01,65985.68735632183,11248.813390391955
255,47068-MN10000,2018-09-01,62066.48505747126,15410.157807395402
256,47068-MN10000,2018-10-01,63123.54505005562,15033.983955743777
257,47068-MN10000,2018-11-01,55245.79977753059,12400.952814670014
258,47068-MN10000,2018-12-01,7545.103448275862,1956.5849537241381
259,47069-MN10011,2015-12-01,19315.199999999997,1411.5120000000002
260,47069-MN10011,2016-01-01,25589.144827586206,2033.9469655172416
261,47069-MN10011,2016-02-01,25858.373922413793,2118.7679094827586
262,47069-MN10011,2016-03-01,31048.488146551725,2639.841056034483
263,47069-MN10011,2016-04-01,31354.626436781607,2908.6704022988506
264,47069-MN10011,2016-05-01,34149.729166666664,3502.837916666667
265,47069-MN10011,2016-06-01,32585.8375,3811.0797499999994
266,47069-MN10011,2016-07-01,32182.50625,3850.11275
267,47069-MN10011,2016-08-01,31082.69375,3757.6152500000003
268,47069-MN10011,2016-09-01,29475.675862068965,3929.2884137931037
269,47069-MN10011,2016-10-01,27409.137931034486,3321.757586206897
270,47069-MN10011,2016-11-01,22322.77370689655,2094.2643749999997
271,47069-MN10011,2016-12-01,21963.3125,1882.28375
272,47069-MN10011,2017-01-01,23095.5,3429.0158979885055
273,47069-MN10011,2017-02-01,21084.275862068967,3256.977398873563
274,47069-MN10011,2017-03-01,23802.295566502464,3903.04078145936
275,47069-MN10011,2017-04-01,24008.78341013825,4045.2712092269585
276,47069-MN10011,2017-05-01,24846.921023359286,6290.365704934371
277,47069-MN10011,2017-06-01,24589.689655172413,3950.8415106896546
278,47069-MN10011,2017-07-01,25612.647385984426,4547.710112859844
279,47069-MN10011,2017-08-01,28377.076751946606,5748.38614647119
280,47069-MN10011,2017-09-01,28274.310344827587,5776.4433628894085
281,47069-MN10011,2017-10-01,28818.03225806452,5420.430688574885
282,47069-MN10011,2017-11-01,27033.82488479263,4409.086655583982
283,47069-MN10011,2017-12-01,24442.562211981567,3896.3572441579536
284,47069-MN10011,2018-01-01,26760.89098998888,4126.774521766185
285,47069-MN10011,2018-02-01,23979.41379310345,3995.05070417931
286,47069-MN10011,2018-03-01,26946.551724137928,4383.874548
287,47069-MN10011,2018-04-01,25998.057471264365,4202.402730328698
288,47069-MN10011,2018-05-01,25408.97701149425,4787.51890277475
289,47069-MN10011,2018-06-01,20852.856321839077,4032.2670875747126
290,47069-MN10011,2018-07-01,24935.23333333333,4688.545246898924
291,47069-MN10011,2018-08-01,26698.466666666664,4872.409914001075
292,47069-MN10011,2018-09-01,26299.240476190476,6480.979918730954
293,47069-MN10011,2018-10-01,26565.763824884794,5057.056561487328
294,47069-MN10011,2018-11-01,24815.4623655914,5728.148739841491
295,47069-MN10011,2018-12-01,4256.666666666667,1031.7362857068965
296,47070-MN10016,2015-12-01,53404.799999999996,2789.152
297,47070-MN10016,2016-01-01,65047.751724137925,3943.2535172413795
298,47070-MN10016,2016-02-01,59537.85452586207,3735.9794827586206
299,47070-MN10016,2016-03-01,63279.00754310345,4380.174999999999
300,47070-MN10016,2016-04-01,61914.25287356322,4754.041666666667
301,47070-MN10016,2016-05-01,62777.395833333336,5808.528958333334
302,47070-MN10016,2016-06-01,61411.9375,5849.797375
303,47070-MN10016,2016-07-01,64473.3125,5811.4960625
304,47070-MN10016,2016-08-01,62065.4875,6621.745937500001
305,47070-MN10016,2016-09-01,57702.06206896552,6080.1517241379315
306,47070-MN10016,2016-10-01,53917.68965517242,5293.264137931034
307,47070-MN10016,2016-11-01,48047.76077586207,3560.385387931034
308,47070-MN10016,2016-12-01,49827.5625,3812.07125
309,47070-MN10016,2017-01-01,55216.625,7949.802787356322
310,47070-MN10016,2017-02-01,53602.81034482759,8251.564667973562
311,47070-MN10016,2017-03-01,59969.26108374384,9694.753406205828
312,47070-MN10016,2017-04-01,60755.589861751156,9894.154029851383
313,47070-MN10016,2017-05-01,61547.25250278087,11304.131569406007
314,47070-MN10016,2017-06-01,59068.13793103448,11381.855864206897
315,47070-MN10016,2017-07-01,60441.5127919911,11531.240651258066
316,47070-MN10016,2017-08-01,72893.659621802,14138.090416983316
317,47070-MN10016,2017-09-01,79029.84729064039,14976.001824544337
318,47070-MN10016,2017-10-01,76077.04147465437,13320.636920762674
319,47070-MN10016,2017-11-01,73494.24423963134,11748.842342555059
320,47070-MN10016,2017-12-01,69570.94930875576,10945.248825348162
321,47070-MN10016,2018-01-01,79027.77975528364,11784.541600405859
322,47070-MN10016,2018-02-01,69035.1724137931,10499.900519832185
323,47070-MN10016,2018-03-01,77637.41379310345,11833.21239937931
324,47070-MN10016,2018-04-01,75594.16091954023,11688.1042861891
325,47070-MN10016,2018-05-01,78245.08602150537,14331.05312967742
326,47070-MN10016,2018-06-01,84010.00921658987,14616.113097739395
327,47070-MN10016,2018-07-01,80859.70046082951,13932.868986744475
328,47070-MN10016,2018-08-01,80518.03763440861,14136.915173580644
329,47070-MN10016,2018-09-01,78483.61904761904,18980.258837623154
330,47070-MN10016,2018-10-01,74545.85944700462,18477.977884860717
331,47070-MN10016,2018-11-01,67699.42380422693,15716.256693309233
332,47070-MN10016,2018-12-01,9249.931034482759,2461.6415842068964
333,47073-MN10034,2015-12-01,72924.8,4010.072
334,47073-MN10034,2016-01-01,97505.33793103449,6698.897310344828
335,47073-MN10034,2016-02-01,91850.26831896552,6708.311314655172
336,47073-MN10034,2016-03-01,90963.83512931035,7095.667306034482
337,47073-MN10034,2016-04-01,88851.09195402298,7154.49540229885
338,47073-MN10034,2016-05-01,91294.10416666667,8528.076041666665
339,47073-MN10034,2016-06-01,88256.5625,8500.070625
340,47073-MN10034,2016-07-01,90122.625,8656.894375
341,47073-MN10034,2016-08-01,91120.77500000001,8874.855625
342,47073-MN10034,2016-09-01,93869.53103448276,9298.785517241378
343,47073-MN10034,2016-10-01,92723.96551724138,9096.235172413792
344,47073-MN10034,2016-11-01,80672.07219827586,6669.108685344827
345,47073-MN10034,2016-12-01,77476.40625,6193.561874999999
346,47073-MN10034,2017-01-01,80441.45833333333,6353.758750000001
347,47073-MN10034,2017-02-01,69956.38644688645,5790.892637362636
348,47073-MN10034,2017-03-01,76597.25274725274,6410.817032967032
349,47073-MN10034,2017-04-01,74126.37362637362,6204.016483516482
350,47073-MN10034,2017-05-01,76886.5335071708,7732.847032594525
351,47073-MN10034,2017-06-01,74487.9745762712,7856.553983050848
352,47073-MN10034,2017-07-01,79257.71027884088,8414.862185347185
353,47073-MN10034,2017-08-01,92105.61290322582,9550.779354838709
354,47073-MN10034,2017-09-01,88902.87430478311,9380.42749721913
355,47073-MN10034,2017-10-01,85792.2869855395,8758.35895439377
356,47073-MN10034,2017-11-01,83230.33986175114,7001.729838709678
357,47073-MN10034,2017-12-01,74497.20073891626,10730.898195402297
358,47073-MN10034,2018-01-01,80297.72068965518,12354.139740081571
359,47073-MN10034,2018-02-01,66243.70645161289,10365.528677419356
360,47073-MN10034,2018-03-01,80863.08243727598,12505.100510938042
361,47073-MN10034,2018-04-01,71320.59498207885,11081.568369610342
362,47073-MN10034,2018-05-01,76306.24026696329,13061.500889858731
363,47073-MN10034,2018-06-01,76299.44252873564,13212.047811589657
364,47073-MN10034,2018-07-01,88935.41954022988,15182.661814985058
365,47073-MN10034,2018-08-01,89878.08045977012,15137.61082661494
366,47073-MN10034,2018-09-01,88213.33333333333,15535.793132571429
367,47073-MN10034,2018-10-01,89532.375,14819.48485577232
368,47073-MN10034,2018-11-01,86819.625,13428.80335560945
369,47073-MN10034,2018-12-01,11989.0,2007.566819546798
370,277107-MN10163,2016-05-01,625.0,171.5625
371,277107-MN10163,2016-06-01,788.3333333333334,215.35483333333332
372,277107-MN10163,2016-07-01,786.6666666666667,215.60766666666666
373,277107-MN10163,2016-08-01,813.3333333333334,150.46
374,277107-MN10163,2016-09-01,821.1494252873563,127.69155172413792
375,277107-MN10163,2016-10-01,855.1724137931034,132.14586206896553
376,277107-MN10163,2016-11-01,110.34482758620689,28.190663129973473
377,277107-MN10163,2016-12-01,-4676.617204301088,-285.1523457402808
378,277107-MN10163,2017-01-01,142518.55268817203,10340.475397849463
379,277107-MN10163,2017-02-01,146608.69784946236,11344.092204301074
380,277107-MN10163,2017-03-01,158173.36666666667,12756.377051282052
381,277107-MN10163,2017-04-01,148934.15625,12478.907115384616
382,277107-MN10163,2017-05-01,149686.97278225806,14565.165241935485
383,277107-MN10163,2017-06-01,161595.59510567298,15914.256051167964
384,277107-MN10163,2017-07-01,179507.7274749722,18119.671852057843
385,277107-MN10163,2017-08-01,181079.0,18410.535
386,277107-MN10163,2017-09-01,172023.82424916571,18108.388665183535
387,277107-MN10163,2017-10-01,172663.11123470523,16197.11552836485
388,277107-MN10163,2017-11-01,172482.44623655913,13560.761827956989
389,277107-MN10163,2017-12-01,200058.62873563208,15116.239540229897
390,277107-MN10163,2018-01-01,158144.78631813126,23511.036696329254
391,277107-MN10163,2018-02-01,147997.0580645161,22054.126451612905
