Building_Meter,FALSE,TRUE,PCNT
24.0 - BLD 02_7889789,101,2,0.019417476
24.0 - BLD 03_7889798,98,5,0.048543689
24.0 - BLD 04_7889812,94,9,0.087378641
24.0 - BLD 05_7889811,93,10,0.097087379
24.0 - BLD 06_7889786,99,4,0.038834951
24.0 - BLD 07_7889787,76,4,0.05
24.0 - BLD 08_7889780,96,7,0.067961165
24.0 - BLD 09_7889801,95,8,0.077669903
24.0 - BLD 10_7889785,96,7,0.067961165
24.0 - BLD 11_7889830,94,9,0.087378641
24.0 - BLD 12_7889790,95,8,0.077669903
24.0 - BLD 13_7889829,95,8,0.077669903
24.0 - BLD 14_7889832,100,3,0.029126214
24.0 - BLD 15_7889779,96,7,0.067961165
240.0 - BLD 01_7695001,94,8,0.078431373
240.0 - BLD 02_5649563,94,8,0.078431373
240.0 - BLD 03_7545100,97,6,0.058252427
241.0 - BLD 01_7505088,99,4,0.038834951
242.0 - BLD 01_6250406,101,2,0.019417476
243.0 - BLD 01_7719116,100,3,0.029126214
243.0 - BLD 04_7719126,101,2,0.019417476
243.0 - BLD 07_8095054,100,3,0.029126214
243.0 - BLD 07_8095078,99,4,0.038834951
243.0 - BLD 16 - Community Center_7719191,79,1,0.0125
245.0 - BLD 34_7252789,101,2,0.019417476
245.0 - BLD 35_8350389,95,8,0.077669903
245.0 - BLD 36_8350388,95,8,0.077669903
246.0 - BLD 01_8545895,95,8,0.077669903
247.0 - BLD 01_7424135,98,5,0.048543689
247.0 - BLD 02_8072720,98,4,0.039215686
247.0 - BLD 03_3276276,98,5,0.048543689
247.0 - BLD 03_4047142,98,5,0.048543689
247.0 - BLD 04 - Community Center_6540936,98,5,0.048543689
247.0 - BLD 04_5705455,93,10,0.097087379
247.0 - BLD 06 - Community Center_7424243,99,4,0.038834951
25.0 - BLD 01_8142997,96,4,0.04
25.0 - BLD 02_8143007,98,2,0.02
25.0 - BLD 04_8143003,84,3,0.034482759
25.0 - BLD 04_8143013,84,3,0.034482759
25.0 - BLD 05_8143000,90,10,0.1
25.0 - BLD 06_8143014,96,4,0.04
25.0 - BLD 07_8143011,97,3,0.03
25.0 - BLD 08_8143010,95,5,0.05
25.0 - BLD 09_7929883,95,5,0.05
25.0 - BLD 10_8143002,98,2,0.02
25.0 - BLD 11_8143005,84,3,0.034482759
25.0 - BLD 12_8301080,48,2,0.04
25.0 - BLD 13_8143009,93,7,0.07
25.0 - BLD 14_8301079,46,4,0.08
252.0 - BLD 01_7972522,93,10,0.097087379
252.0 - BLD 02_7834070,101,2,0.019417476
252.0 - BLD 03_7692890,101,2,0.019417476
256.0 - BLD 01_8301116,101,2,0.019417476
26.0 - BLD 01_8142853,72,4,0.052631579
26.0 - BLD 02_8142869,74,2,0.026315789
26.0 - BLD 03_8142872,74,2,0.026315789
26.0 - BLD 04_8142865,71,5,0.065789474
26.0 - BLD 05_8142861,73,3,0.039473684
26.0 - BLD 06_8142858,72,4,0.052631579
26.0 - BLD 07_8142894,74,2,0.026315789
26.0 - BLD 08_8142889,73,3,0.039473684
26.0 - BLD 09_8142859,73,3,0.039473684
26.0 - BLD 10_8142857,72,4,0.052631579
26.0 - BLD 12_8142863,63,1,0.015625
26.0 - BLD 13_8142856,73,3,0.039473684
26.0 - BLD 15_8142878,74,2,0.026315789
26.0 - BLD 16_8142870,75,1,0.013157895
26.0 - BLD 17_8142866,75,1,0.013157895
26.0 - BLD 18_8142882,73,3,0.039473684
26.0 - BLD 19_8142881,74,2,0.026315789
26.0 - BLD 20_8142880,73,3,0.039473684
26.0 - BLD 21_8142867,72,4,0.052631579
26.0 - BLD 22_8142860,74,2,0.026315789
26.0 - BLD 23_8142871,73,3,0.039473684
261.0 - BLD 01_8072739,75,5,0.0625
261.0 - BLD 02_7545070,97,5,0.049019608
261.0 - BLD 03_7754299,91,11,0.107843137
261.0 - BLD 04_7754297,99,3,0.029411765
261.0 - BLD 05_5536038,99,3,0.029411765
262.0 - BLD 01_7695093,100,3,0.029126214
262.0 - BLD 02 - Community Center_7574678,101,2,0.019417476
262.0 - BLD 02_7574659,92,11,0.106796117
263.0 - BLD 01_8300405,99,1,0.01
263.0 - BLD 02_7231407,69,3,0.041666667
263.0 - BLD 03_5933730,99,4,0.038834951
263.0 - BLD 04_7260357,93,10,0.097087379
263.0 - BLD 05_7572901,99,4,0.038834951
263.0 - BLD 06_7231580,96,7,0.067961165
263.0 - BLD 07_5705021,100,2,0.019607843
263.0 - BLD 08_5707103,99,4,0.038834951
264.0 - BLD 01_6025786,101,2,0.019417476
265.0 - BLD 01_7031117,101,2,0.019417476
266.0 - BLD 01_7834060,98,5,0.048543689
267.0 - BLD 01_8322189,100,3,0.029126214
267.0 - BLD 02_7252800,101,2,0.019417476
267.0 - BLD 03_7837188,96,7,0.067961165
267.0 - BLD 03_8661312,94,9,0.087378641
268.0 - BLD 01_6211908,99,3,0.029411765
268.0 - BLD 01_6443251,96,6,0.058823529
27.0 - BLD 01_8362679,59,4,0.063492063
27.0 - BLD 02_8322389,58,5,0.079365079
27.0 - BLD 03_8322406,60,3,0.047619048
27.0 - BLD 04_8322397,59,4,0.063492063
27.0 - BLD 05_8322386,59,4,0.063492063
27.0 - BLD 06_8322391,60,3,0.047619048
27.0 - BLD 07_8322405,57,6,0.095238095
27.0 - BLD 08_8322404,61,2,0.031746032
27.0 - BLD 09_8322387,60,3,0.047619048
27.0 - BLD 10_7930198,60,3,0.047619048
27.0 - BLD 11_8322093,59,4,0.063492063
27.0 - BLD 12_8322396,60,3,0.047619048
271.0 - BLD 10_5536935,60,1,0.016393443
271.0 - BLD 11_8232049,99,4,0.038834951
276.0 - BLD 01_7703521,99,4,0.038834951
276.0 - BLD 02_3197994,91,1,0.010869565
276.0 - BLD 03_8300510,56,1,0.01754386
276.0 - BLD 04_7209938,101,2,0.019417476
277.0 - BLD 01_7693534,101,2,0.019417476
278.0 - BLD 23_6540608,78,1,0.012658228
278.0 - BLD 24_8123249,78,1,0.012658228
278.0 - BLD 25_2580529,78,1,0.012658228
278.0 - BLD 26_2180293,53,3,0.053571429
278.0 - BLD 26_6312226,75,4,0.050632911
278.0 - BLD 27_7297008,73,6,0.075949367
278.0 - BLD 28_6438677,78,1,0.012658228
278.0 - BLD 28_6626444,77,2,0.025316456
278.0 - BLD 29_5772930,76,3,0.037974684
278.0 - BLD 30_2770823,78,1,0.012658228
278.0 - BLD 31_2763430,77,2,0.025316456
278.0 - BLD 32_7890501,75,4,0.050632911
278.0 - BLD 33_5483261,62,5,0.074626866
278.0 - BLD 34_4905626,76,3,0.037974684
278.0 - BLD 35_7833799,76,3,0.037974684
278.0 - BLD 36_2640874,66,3,0.043478261
279.0 - BLD 01_3552903,101,,0
279.0 - BLD 01_3703376,100,1,0.00990099
279.0 - BLD 01_7929572,100,2,0.019607843
28.0 - BLD 01_8125780,82,1,0.012048193
28.0 - BLD 02_7930001,82,1,0.012048193
28.0 - BLD 03_7930003,82,1,0.012048193
28.0 - BLD 04_8096607,81,2,0.024096386
28.0 - BLD 05_7929977,82,1,0.012048193
28.0 - BLD 06_8096601,82,1,0.012048193
28.0 - BLD 07_8096605,81,2,0.024096386
28.0 - BLD 08_8093918,81,2,0.024096386
28.0 - BLD 09 - Community Center_8570506,98,3,0.02970297
280.0 - BLD 01_8349972,95,8,0.077669903
280.0 - BLD 02_8349994,100,3,0.029126214
280.0 - BLD 03_8349995,99,4,0.038834951
280.0 - BLD 04_8561805,99,4,0.038834951
280.0 - BLD 05_8349996,98,5,0.048543689
280.0 - BLD 06_8349997,99,4,0.038834951
280.0 - BLD 07_8350178,96,7,0.067961165
281.0 - BLD 01_8205902,70,1,0.014084507
282.0 - BLD 01_6147844,92,3,0.031578947
285.0 - BLD 01_6251262,100,2,0.019607843
285.0 - BLD 02_6370152,100,2,0.019607843
285.0 - BLD 03_7117249,101,2,0.019417476
285.0 - BLD 04_7441733,97,5,0.049019608
285.0 - BLD 05_6415043,87,4,0.043956044
286.0 - BLD 03_7125119,99,4,0.038834951
286.0 - BLD 04_7835020,100,3,0.029126214
287.0 - BLD 01 - Community Center_8545700,101,2,0.019417476
287.0 - BLD 01_8545699,57,2,0.033898305
29.0 - BLD 01_8232121,98,5,0.048543689
29.0 - BLD 02_8232113,97,6,0.058252427
29.0 - BLD 03_8232100,99,4,0.038834951
29.0 - BLD 04_8232099,101,2,0.019417476
29.0 - BLD 05_8096712,51,2,0.037735849
29.0 - BLD 06_8232109,97,6,0.058252427
29.0 - BLD 07_8232123,97,6,0.058252427
29.0 - BLD 08_8232114,99,4,0.038834951
29.0 - BLD 09_8232101,98,5,0.048543689
29.0 - BLD 10_8232107,98,5,0.048543689
292.0 - BLD 01_5321429,97,5,0.049019608
292.0 - BLD 01_8465000,60,1,0.016393443
292.0 - BLD 01_8633611,87,10,0.103092784
292.0 - BLD 02_8361385,60,5,0.076923077
293.0 - BLD 01_5397806,98,5,0.048543689
293.0 - BLD 01_7505066,96,7,0.067961165
293.0 - BLD 03_7268715,93,2,0.021052632
293.0 - BLD 04_7268714,101,2,0.019417476
293.0 - BLD 05_7262872,69,3,0.041666667
296.0 - BLD 01_7406137,100,3,0.029126214
296.0 - BLD 02_5646098,57,1,0.017241379
296.0 - BLD 03_7677488,101,2,0.019417476
297.0 - BLD 01_5933799,83,9,0.097826087
297.0 - BLD 01_7860262,101,2,0.019417476
3.0 - BLD 01_8095249,93,3,0.03125
3.0 - BLD 01_8095265,95,1,0.010416667
3.0 - BLD 02_8095247,91,5,0.052083333
3.0 - BLD 02_8095261,95,1,0.010416667
3.0 - BLD 03_8095248,94,2,0.020833333
3.0 - BLD 03_8095260,95,1,0.010416667
3.0 - BLD 04_8095271,92,4,0.041666667
3.0 - BLD 04_8095273,94,2,0.020833333
3.0 - BLD 05_8095259,93,3,0.03125
3.0 - BLD 05_8095262,92,4,0.041666667
3.0 - BLD 06_8095266,94,2,0.020833333
3.0 - BLD 06_8095274,93,3,0.03125
3.0 - BLD 07_8095250,95,1,0.010416667
3.0 - BLD 07_8095264,91,5,0.052083333
30.0 - BLD 01_8362650,56,4,0.066666667
30.0 - BLD 02_8362653,56,4,0.066666667
30.0 - BLD 03_8362651,59,1,0.016666667
30.0 - BLD 04 - Community Center_6673159,96,6,0.058823529
30.0 - BLD 04_8095311,56,4,0.066666667
30.0 - BLD 05_7930155,57,3,0.05
30.0 - BLD 06_7930178,56,4,0.066666667
30.0 - BLD 07_7423781,57,3,0.05
30.0 - BLD 08_8075319,56,4,0.066666667
30.0 - BLD 09_7930182,58,2,0.033333333
30.0 - BLD 10_8075306,55,5,0.083333333
302.0 - BLD 01_8023364,100,3,0.029126214
302.0 - BLD 01_8088709,96,7,0.067961165
302.0 - BLD 02_7608926,92,3,0.031578947
302.0 - BLD 03_7245207,68,1,0.014492754
302.0 - BLD 04_8074786,99,4,0.038834951
302.0 - BLD 05_6036863,98,5,0.048543689
302.0 - BLD 06_8160663,99,4,0.038834951
302.0 - BLD 07_6699321,99,4,0.038834951
302.0 - BLD 08_7661864,98,5,0.048543689
302.0 - BLD 09_5647341,101,2,0.019417476
302.0 - BLD 10_7972651,99,2,0.01980198
302.0 - BLD 11_7390166,98,5,0.048543689
302.0 - BLD 12_7517708,80,2,0.024390244
302.0 - BLD 13_8071773,95,6,0.059405941
302.0 - BLD 14_8881052,95,8,0.077669903
302.0 - BLD 15_4906172,98,5,0.048543689
302.0 - BLD 16_7161135,95,5,0.05
302.0 - BLD 17_7356812,98,5,0.048543689
302.0 - BLD 18_8071844,97,4,0.03960396
302.0 - BLD 19_5776059,101,2,0.019417476
302.0 - BLD 20_5919677,100,3,0.029126214
302.0 - BLD 21_7564361,93,10,0.097087379
302.0 - BLD 22_8071840,98,3,0.02970297
302.0 - BLD 23_7972648,95,6,0.059405941
302.0 - BLD 24_7423125,101,2,0.019417476
302.0 - BLD 25_6646996,99,4,0.038834951
303.0 - BLD 26_7423124,98,4,0.039215686
303.0 - BLD 27_7363429,98,5,0.048543689
303.0 - BLD 28_7442728,94,8,0.078431373
303.0 - BLD 29_7390591,92,11,0.106796117
303.0 - BLD 30_7423127,96,7,0.067961165
303.0 - BLD 31_8002323,98,5,0.048543689
303.0 - BLD 32_7210780,99,4,0.038834951
303.0 - BLD 33_7515357,98,5,0.048543689
303.0 - BLD 34_4911399,89,3,0.032608696
303.0 - BLD 35_7662909,100,3,0.029126214
303.0 - BLD 36_7442599,93,10,0.097087379
303.0 - BLD 37_8071839,96,7,0.067961165
303.0 - BLD 38_8444333,58,4,0.064516129
303.0 - BLD 39_7972649,98,5,0.048543689
303.0 - BLD 40_8074787,96,5,0.04950495
303.0 - BLD 41_7661684,99,4,0.038834951
303.0 - BLD 42_7390980,95,8,0.077669903
303.0 - BLD 43_8076491,79,1,0.0125
303.0 - BLD 44_6360233,101,2,0.019417476
303.0 - BLD 45_7545428,98,5,0.048543689
303.0 - BLD 46_7347348,99,4,0.038834951
303.0 - BLD 47_7564364,101,2,0.019417476
303.0 - BLD 48_5775022,101,2,0.019417476
303.0 - BLD 49_7390981,97,6,0.058252427
303.0 - BLD 50_8165265,100,2,0.019607843
303.0 - BLD 51 - Community Center_6484303,101,2,0.019417476
304.0 - BLD 01_7114306,99,4,0.038834951
304.0 - BLD 02_7116709,98,5,0.048543689
304.0 - BLD 03_5646601,50,1,0.019607843
304.0 - BLD 03_8574015,48,2,0.04
304.0 - BLD 04_7382285,100,3,0.029126214
304.0 - BLD 05_6245330,101,2,0.019417476
305.0 - BLD 01_5389430,97,1,0.010204082
305.0 - BLD 01_7347051,93,4,0.041237113
305.0 - BLD 02_5931404,100,1,0.00990099
305.0 - BLD 02_7838309,97,4,0.03960396
305.0 - BLD 04_6671915,49,2,0.039215686
305.0 - BLD 04_8089783,89,11,0.11
307.0 - BLD 01_8561944,100,2,0.019607843
307.0 - BLD 02_8200763,78,5,0.060240964
307.0 - BLD 03_6243553,101,2,0.019417476
307.0 - BLD 04_7363075,100,3,0.029126214
307.0 - BLD 05_4012466,99,4,0.038834951
307.0 - BLD 06_8741239,95,8,0.077669903
308.0 - BLD 01_5017672,98,5,0.048543689
308.0 - BLD 01_5017684,99,4,0.038834951
308.0 - BLD 01_7405988,67,1,0.014705882
308.0 - BLD 02_8445002,98,5,0.048543689
308.0 - BLD 03_7930369,66,2,0.029411765
308.0 - BLD 04_7835151,101,2,0.019417476
308.0 - BLD 05_6621147,101,2,0.019417476
309.0 - BLD 01_5159431,101,2,0.019417476
309.0 - BLD 01_6383071,97,6,0.058252427
31.0 - ALBANY BLD 01_4580863,55,2,0.035087719
31.0 - ALBANY BLD 02_5081895,74,2,0.026315789
31.0 - ALBANY BLD 03_5081734,71,2,0.02739726
31.0 - ALBANY BLD 04_7662330,70,6,0.078947368
311.0 - BLD 01_4950319,100,3,0.029126214
311.0 - BLD 01_7250278,101,2,0.019417476
311.0 - BLD 02_5652259,68,1,0.014492754
311.0 - BLD 03_5704985,96,7,0.067961165
312.0 - BLD 01_8072876,99,3,0.029411765
312.0 - BLD 07_7908830,101,2,0.019417476
312.0 - BLD 1_7272594,97,6,0.058252427
312.0 - BLD 3_7908606,97,6,0.058252427
313.0 - BLD 01 - Community Center_7356823,100,2,0.019607843
313.0 - BLD 01_7891031,92,1,0.010752688
313.0 - BLD 02_7891032,99,3,0.029411765
313.0 - BLD 03_7891030,94,1,0.010526316
313.0 - BLD 04_7891029,99,3,0.029411765
313.0 - BLD 05_7908612,96,7,0.067961165
314.0 - BLD 01_5032388,95,8,0.077669903
314.0 - BLD 01_7404348,97,6,0.058252427
315.0 - BLD 01_4948246,93,9,0.088235294
315.0 - BLD 01_6625874,93,10,0.097087379
315.0 - BLD 02_4965362,98,4,0.039215686
315.0 - BLD 02_4965627,94,8,0.078431373
315.0 - BLD 02_7692834,99,4,0.038834951
315.0 - BLD 03 - Community Center_7703609,90,13,0.126213592
316.0 - BLD 01_4684400,100,2,0.019607843
316.0 - BLD 01_4684432,100,2,0.019607843
316.0 - BLD 01_4684454,100,2,0.019607843
316.0 - BLD 01_4946700,100,1,0.00990099
316.0 - BLD 01_4952060,98,4,0.039215686
316.0 - BLD 01_4952091,93,9,0.088235294
316.0 - BLD 01_4952101,100,2,0.019607843
316.0 - BLD 01_4952111,99,2,0.01980198
316.0 - BLD 01_4952115,98,4,0.039215686
316.0 - BLD 01_4952116,97,5,0.049019608
316.0 - BLD 01_4952135,64,5,0.072463768
316.0 - BLD 01_5003866,100,1,0.00990099
316.0 - BLD 01_5367449,100,2,0.019607843
316.0 - BLD 01_6938558,95,7,0.068627451
316.0 - BLD 01_7406023,97,5,0.049019608
32.0 - BLD 01_8322128,90,1,0.010989011
32.0 - BLD 02_8125316,90,1,0.010989011
32.0 - BLD 03_8093923,101,2,0.019417476
32.0 - BLD 04_8096650,101,2,0.019417476
32.0 - BLD 05_8096632,101,2,0.019417476
32.0 - BLD 06_8096633,101,2,0.019417476
32.0 - BLD 07_8096631,89,3,0.032608696
32.0 - BLD 07_8096637,91,1,0.010869565
32.0 - BLD 09_8096647,101,2,0.019417476
32.0 - BLD 10 - Community Center_7836344,101,2,0.019417476
324.0 - BLD 01_5423595,67,2,0.028985507
324.0 - BLD 02_4888149,101,2,0.019417476
324.0 - BLD 02_7390712,100,3,0.029126214
324.0 - BLD 03_7891053,97,4,0.03960396
324.0 - BLD 03_8466252,100,3,0.029126214
324.0 - BLD 04_7442721,92,2,0.021276596
324.0 - BLD 04_7706972,95,7,0.068627451
324.0 - BLD 05_7545431,99,2,0.01980198
324.0 - BLD 05_8881064,96,5,0.04950495
325.0 - BLD 01_7273048,98,3,0.02970297
325.0 - BLD 01_7382498,94,1,0.010526316
325.0 - BLD 02 - Community Center_8888116,97,4,0.03960396
325.0 - BLD 02_6505091,100,2,0.019607843
326.0 - BLD 01_6790321,94,9,0.087378641
326.0 - BLD 02_5647227,99,3,0.029411765
326.0 - BLD 03_7115356,101,2,0.019417476
326.0 - BLD 04_7268751,98,5,0.048543689
326.0 - BLD 05_7268750,99,4,0.038834951
329.0 - BLD 01_6246111,99,3,0.029411765
33.0 - BLD 01_8125819,80,2,0.024390244
33.0 - BLD 02_8125824,76,6,0.073170732
33.0 - BLD 03_8125827,80,2,0.024390244
33.0 - BLD 04_8125825,79,3,0.036585366
33.0 - BLD 05_8125823,78,4,0.048780488
33.0 - BLD 06_8125830,79,3,0.036585366
33.0 - BLD 07_8125834,80,2,0.024390244
33.0 - BLD 08_8125817,80,2,0.024390244
33.0 - BLD 09_8125822,80,2,0.024390244
33.0 - BLD 10_8125818,79,3,0.036585366
33.0 - BLD 11_8125828,77,5,0.06097561
33.0 - BLD 12_8125821,78,4,0.048780488
33.0 - BLD 13_8125820,77,5,0.06097561
33.0 - BLD 14_8125829,80,2,0.024390244
33.0 - BLD 15_8125833,78,4,0.048780488
33.0 - BLD 16_8125813,79,3,0.036585366
33.0 - BLD 17_8321870,78,4,0.048780488
33.0 - BLD 18_8125808,80,2,0.024390244
33.0 - BLD 19_8096392,79,3,0.036585366
33.0 - BLD 20_8125814,79,3,0.036585366
330.0 - BLD 01_7913169,97,5,0.049019608
330.0 - BLD 02_6548490,67,5,0.069444444
331.0 - BLD 03_7268716,101,2,0.019417476
331.0 - BLD 04_6679825,100,3,0.029126214
333.0 - BLD 01_8561083,94,9,0.087378641
334.0 - BLD 01_8002479,100,3,0.029126214
334.0 - BLD 02_8093141,99,4,0.038834951
334.0 - BLD 03_7836967,100,1,0.00990099
334.0 - BLD 03_8084241,95,6,0.059405941
335.0 - BLD 01_6245931,100,3,0.029126214
335.0 - BLD 02_6242998,98,1,0.01010101
335.0 - BLD 03_8443906,60,2,0.032258065
335.0 - BLD 04_6036736,101,2,0.019417476
335.0 - BLD 05_8319562,65,1,0.015151515
335.0 - BLD 06_6540508,101,2,0.019417476
335.0 - BLD 07_7295341,97,4,0.03960396
335.0 - BLD 08_7518002,101,2,0.019417476
335.0 - BLD 09_6671626,101,2,0.019417476
336.0 - BLD 01_7545119,99,4,0.038834951
336.0 - BLD 02_7834992,100,3,0.029126214
336.0 - BLD 03_7719769,100,3,0.029126214
337.0 - BLD 02_8076862,88,14,0.137254902
337.0 - BLD 03_5503301,92,6,0.06122449
337.0 - BLD 03_5503302,97,6,0.058252427
337.0 - BLD 03_5651747,92,4,0.041666667
337.0 - BLD 04_5427055,94,3,0.030927835
337.0 - BLD 04_7346971,96,4,0.04
337.0 - BLD 05_7295772,101,2,0.019417476
338.0 - BLD 01_6246539,100,3,0.029126214
338.0 - BLD 02_5329661,100,3,0.029126214
338.0 - BLD 03_7690748,100,2,0.019607843
338.0 - BLD 04_6617365,93,9,0.088235294
338.0 - BLD 04_7505176,99,3,0.029411765
338.0 - BLD 05_6651022,94,6,0.06
338.0 - BLD 05_8375549,61,1,0.016129032
338.0 - BLD 06_7663421,101,2,0.019417476
338.0 - BLD 07_7264499,101,2,0.019417476
339.0 - BLD 01_8072899,96,5,0.04950495
339.0 - BLD 02_7951784,97,6,0.058252427
339.0 - BLD 02_7951785,98,5,0.048543689
339.0 - BLD 02_7972625,93,8,0.079207921
339.0 - BLD 03_8072894,91,4,0.042105263
339.0 - BLD 04_7660317,99,3,0.029411765
339.0 - BLD 05_5429735,97,5,0.049019608
34.0 - BLD 01_7929840,100,3,0.029126214
34.0 - BLD 02_7929846,100,3,0.029126214
34.0 - BLD 03_7860095,100,3,0.029126214
34.0 - BLD 04_7929825,101,2,0.019417476
34.0 - BLD 05_7860107,100,3,0.029126214
34.0 - BLD 06_7929830,100,3,0.029126214
34.0 - BLD 07_8008347,101,2,0.019417476
34.0 - BLD 08_8096728,100,3,0.029126214
34.0 - BLD 09_7929928,101,2,0.019417476
34.0 - BLD 10_7929845,100,3,0.029126214
340.0 - BLD 01_7272396,78,4,0.048780488
340.0 - BLD 01_7334265,80,2,0.024390244
341.0 - BLD 01_7706532,96,7,0.067961165
341.0 - BLD 02_6311007,100,3,0.029126214
341.0 - BLD 03_7505179,96,7,0.067961165
341.0 - BLD 04_7835072,95,8,0.077669903
342.0 - BLD 01_6382700,92,9,0.089108911
342.0 - BLD 01_8089804,98,3,0.02970297
343.0 - BLD 01_4585919,98,5,0.048543689
343.0 - BLD 01_4587383,95,8,0.077669903
343.0 - BLD 01_4588085,95,8,0.077669903
343.0 - BLD 01_4589156,93,10,0.097087379
343.0 - BLD 01_4591105,100,3,0.029126214
343.0 - BLD 01_4609856,98,5,0.048543689
343.0 - BLD 01_4613122,98,5,0.048543689
343.0 - BLD 01_4651458,100,3,0.029126214
343.0 - BLD 01_4817430,95,8,0.077669903
343.0 - BLD 01_5096104,96,7,0.067961165
343.0 - BLD 01_5096992,97,6,0.058252427
343.0 - BLD 01_5106231,101,2,0.019417476
343.0 - BLD 01_5116615,99,4,0.038834951
343.0 - BLD 01_5116640,96,7,0.067961165
343.0 - BLD 01_5135198,96,7,0.067961165
343.0 - BLD 01_5165466,97,6,0.058252427
343.0 - BLD 01_5169035,95,8,0.077669903
343.0 - BLD 01_5308256,97,6,0.058252427
343.0 - BLD 01_5470999,98,5,0.048543689
343.0 - BLD 01_6911424,101,2,0.019417476
343.0 - BLD 01_7613341,100,3,0.029126214
344.0 - BLD 01_8200623,96,3,0.03030303
345.0 - BLD 01_8074665,100,3,0.029126214
345.0 - BLD 02_8074670,100,3,0.029126214
345.0 - BLD 03_7564319,101,2,0.019417476
346.0 - BLD 01_8443716,97,6,0.058252427
346.0 - BLD 02_8506872,59,2,0.032786885
346.0 - BLD 03_8298891,99,4,0.038834951
347.0 - BLD 01_7821818,99,4,0.038834951
348.0 - BLD 01_8559220,100,3,0.029126214
348.0 - BLD 02_7864477,49,4,0.075471698
348.0 - BLD 03_8072875,100,3,0.029126214
35.0 - BLD 05_8008857,100,3,0.029126214
351.0 - BLD 01_8558900,99,4,0.038834951
351.0 - BLD 02_8002300,96,7,0.067961165
351.0 - BLD 03_8558927,101,2,0.019417476
351.0 - BLD 04_5301136,60,1,0.016393443
351.0 - BLD 04_7371966,99,3,0.029411765
351.0 - BLD 06_8074788,95,5,0.05
351.0 - BLD 07_8002301,95,2,0.020618557
351.0 - BLD 09_8072874,98,4,0.039215686
352.0 - BLD 01_7707533,95,8,0.077669903
352.0 - BLD 03_6414930,100,3,0.029126214
352.0 - BLD 03_7855286,99,4,0.038834951
352.0 - BLD 04_7390699,98,5,0.048543689
352.0 - BLD 05_6789690,101,2,0.019417476
353.0 - BLD 01_5378902,96,1,0.010309278
353.0 - BLD 01_6566083,98,2,0.02
353.0 - BLD 01_7382395,98,3,0.02970297
